Date,Open,High,Low,Close,Adj Close,Volume
2003-06-01,60.627689,65.409660,58.657230,61.276501,48.685852,27919000
2003-07-01,61.276501,67.043701,57.672001,66.731308,53.019852,34889600
2003-08-01,66.731308,69.470734,63.006660,68.629677,54.528145,27245800
2003-09-01,69.326553,70.888496,62.862480,62.862480,50.226856,34186200
2003-10-01,63.198898,78.193619,63.126808,75.862709,60.613979,47684900
2003-11-01,76.054947,80.500504,74.925537,78.842430,62.994797,31567700
2003-12-01,79.299004,93.524757,78.409889,91.314003,73.302773,46184500
2004-01-01,91.314003,94.774323,78.337799,82.134537,65.933968,59913100
2004-02-01,82.230659,91.674454,80.164078,90.040413,72.280418,39738400
2004-03-01,90.521011,92.707741,78.409889,83.360069,67.213409,47129500
2004-04-01,83.312012,87.949799,73.291496,73.892250,59.579479,64434000
2004-05-01,73.892250,76.583611,68.509529,75.213898,60.645130,54910600
2004-06-01,75.213898,81.413643,73.075233,79.371094,64.307045,39933900
2004-07-01,79.130791,79.899750,70.744324,76.968086,62.360119,37623400
2004-08-01,76.415398,79.635422,70.912529,77.809143,63.041557,30767900
2004-09-01,77.376602,80.981102,72.738808,80.716766,65.710831,46194100
2004-10-01,81.533791,83.143799,74.733299,78.097504,63.578484,40749800
2004-11-01,78.457947,84.080971,75.958832,81.653938,66.473763,33469700
2004-12-01,81.677971,82.903503,73.603889,75.478233,61.734818,51691200
2005-01-01,76.415398,76.415398,67.308029,70.912529,58.000477,52967800
2005-02-01,71.441193,77.304512,69.446701,77.184357,63.130287,38009100
2005-03-01,77.160332,77.592873,70.768349,73.027168,60.034718,45564600
2005-04-01,73.531799,76.415398,67.932808,69.735062,57.328331,49575300
2005-05-01,70.023422,71.513283,62.550091,65.121300,53.535400,41220400
2005-06-01,65.313538,68.605652,62.261730,62.790390,51.884789,40752900
2005-07-01,63.078751,69.686996,61.396648,67.404152,55.697239,42376500
2005-08-01,67.644447,72.041939,63.823681,64.376373,53.195328,41668200
2005-09-01,64.568611,66.010406,57.215431,58.681259,48.743587,48317700
2005-10-01,58.681259,59.041710,53.538841,58.368870,48.484108,55015100
2005-11-01,58.464989,67.500267,58.320808,65.866226,54.711781,50713900
2005-12-01,66.683250,71.705521,66.442947,71.056709,59.385357,39098400
2006-01-01,71.104767,77.304512,68.245201,75.694504,63.261364,55285300
2006-02-01,75.622414,77.376602,69.855209,70.455963,58.883297,43418800
2006-03-01,70.528053,75.646439,68.221169,73.435677,61.667210,42518200
2006-04-01,73.916283,86.387848,73.627922,81.173340,68.164871,69178300
2006-05-01,82.230659,88.814880,72.354332,76.223160,64.008003,71790500
2006-06-01,76.439430,79.563332,68.605652,77.761078,65.586426,56509900
2006-07-01,79.611389,81.702003,69.927299,71.969849,60.701923,58514500
2006-08-01,72.089996,72.858963,66.346832,68.701767,57.945511,49161000
2006-09-01,69.038193,71.104767,63.919800,67.380119,57.123341,53748100
2006-10-01,67.380119,69.590881,63.415169,69.470734,58.895718,91799800
